City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Larsnes,62.2028,5.5773,2.78,86,40,1.03,NO,1613456205
Deputatsky,69.3,139.9,-31.51,88,21,0.34,RU,1613456206
Barra de Tecoanapa,16.5167,-98.75,20.09,84,19,2.07,MX,1613456206
Albany,42.6001,-73.9662,-2.22,79,100,1.08,US,1613456206
Hong Kong,22.2855,114.1577,22.78,60,0,1.34,HK,1613456043
Port Alfred,-33.5906,26.891,17.22,94,63,5.21,ZA,1613456206
Atuona,-9.8,-139.0333,25.96,78,27,6.38,PF,1613456118
Galle,6.0367,80.217,28.48,69,56,2.88,LK,1613455996
Coyhaique,-45.5752,-72.0662,12.0,62,0,3.09,CL,1613456206
Touros,-5.1989,-35.4608,25.0,94,75,1.54,BR,1613456206
Kaka,37.3482,59.6143,17.68,28,0,1.33,TM,1613456207
Anloga,5.7947,0.8973,28.0,83,20,2.57,GH,1613456207
Bredasdorp,-34.5322,20.0403,16.0,88,75,4.12,ZA,1613456207
Ribeira Grande,38.5167,-28.7,14.1,64,47,8.27,PT,1613456207
Dalvik,65.9702,-18.5286,3.0,81,20,3.09,IS,1613456207
Bom Conselho,-9.1697,-36.6797,20.41,91,88,3.67,BR,1613456207
Bluff,-46.6,168.3333,13.33,65,0,3.58,NZ,1613456208
Nanga Eboko,4.6833,12.3667,19.92,96,80,0.9,CM,1613455981
Vaini,-21.2,-175.2,28.0,78,75,1.03,TO,1613456208
Arraial do Cabo,-22.9661,-42.0278,23.8,88,30,5.25,BR,1613456208
Porto-Novo,6.4965,2.6036,28.0,89,20,4.63,BJ,1613456208
Akdepe,42.0551,59.3788,8.0,66,0,5.14,TM,1613456208
Ushuaia,-54.8,-68.3,11.0,66,75,3.09,AR,1613456072
La Paz,-16.5,-68.15,5.0,93,75,1.03,BO,1613456209
Mataura,-46.1927,168.8643,13.33,65,3,3.58,NZ,1613456209
Rikitea,-23.1203,-134.9692,26.68,77,8,5.24,PF,1613456209
Hithadhoo,-0.6,73.0833,27.07,79,81,4.03,MV,1613456209
San Cristobal,7.7669,-72.225,19.48,90,100,0.67,VE,1613456209
Ahipara,-35.1667,173.1667,20.29,85,93,5.57,NZ,1613456209
Tasiilaq,65.6145,-37.6368,-3.0,80,90,1.03,GL,1613456209
Gijang,35.2442,129.2139,7.0,29,20,7.2,KR,1613456210
San Patricio,28.017,-97.5169,-5.0,80,20,2.57,US,1613456210
Bethel,41.3712,-73.414,0.0,93,90,5.14,US,1613456210
Dubbo,-32.25,148.6167,27.0,39,40,6.17,AU,1613456061
Saskylakh,71.9167,114.0833,-26.17,87,100,3.78,RU,1613456210
Jamestown,42.097,-79.2353,-5.0,93,90,6.17,US,1613456210
Darnah,32.767,22.6367,9.15,62,97,13.7,LY,1613456210
Griffith,41.5284,-87.4237,-9.0,85,90,4.12,US,1613456210
Katsuura,35.1333,140.3,15.0,36,20,8.75,JP,1613456210
Kaitangata,-46.2817,169.8464,13.89,53,9,3.58,NZ,1613456211
Hofn,64.2539,-15.2082,5.51,93,72,1.32,IS,1613456211
East London,-33.0153,27.9116,16.0,94,90,3.09,ZA,1613456211
Cape Town,-33.9258,18.4232,19.44,52,0,4.63,ZA,1613455924
Dromolaxia,34.8761,33.586,13.0,76,75,5.14,CY,1613456211
Mackay,-21.15,149.2,28.33,83,75,5.14,AU,1613456211
Sorong,-0.8833,131.25,29.77,69,96,4.76,ID,1613456211
Mahébourg,-20.4081,57.7,28.0,89,75,5.14,MU,1613456187
Weligama,5.9667,80.4167,29.44,62,68,1.73,LK,1613456212
Port Elizabeth,-33.918,25.5701,18.0,82,90,1.54,ZA,1613456212
Busselton,-33.65,115.3333,28.44,48,1,5.02,AU,1613456212
Qaanaaq,77.484,-69.3632,-18.85,88,82,1.83,GL,1613456212
Eureka,40.8021,-124.1637,8.89,98,97,2.29,US,1613456126
Beringovskiy,63.05,179.3167,-22.51,89,100,7.4,RU,1613456212
Dingle,10.9995,122.6711,28.09,73,63,5.82,PH,1613456213
Aykhal,66.0,111.5,-28.74,84,2,1.94,RU,1613456213
Oistins,13.0667,-59.5333,26.0,61,40,9.26,BB,1613456115
Kálmánháza,47.8833,21.5833,-6.0,93,94,1.03,HU,1613456213
Ostrovnoy,68.0531,39.5131,-16.46,92,100,2.9,RU,1613456213
Liuzhou,24.3126,109.3892,17.36,73,96,4.83,CN,1613456213
Orodara,10.9492,-4.9342,27.0,50,0,2.57,BF,1613456120
Vostok,46.4856,135.8833,-14.81,95,100,6.23,RU,1613456213
Tabou,4.423,-7.3528,25.58,88,98,1.3,CI,1613456214
Nelson Bay,-32.7167,152.15,24.44,69,40,7.2,AU,1613456137
Iara,46.55,23.5167,-8.89,92,1,0.56,RO,1613456214
Saint-Philippe,-21.3585,55.7679,30.0,62,95,5.66,RE,1613456214
Northam,51.0333,-4.2167,8.89,92,100,4.47,GB,1613456214
Codrington,-38.2667,141.9667,24.8,54,80,6.85,AU,1613456214
Aldan,58.6031,125.3894,-25.29,85,100,1.48,RU,1613456214
Nikolskoye,59.7035,30.7861,-5.0,93,90,7.0,RU,1613456214
Norman Wells,65.282,-126.8329,-25.0,84,75,2.06,CA,1613456214
Zhuanghe,39.7008,122.9911,-5.25,76,32,7.77,CN,1613456215
Hualmay,-11.0964,-77.6139,21.99,74,43,1.89,PE,1613456215
Carnarvon,-24.8667,113.6333,30.0,84,0,9.77,AU,1613456215
Hambantota,6.1241,81.1185,30.0,70,0,2.57,LK,1613456215
Leningradskiy,69.3833,178.4167,-26.37,87,12,0.76,RU,1613456215
Forsytheganj,52.6333,29.7333,-19.43,93,69,1.44,BY,1613456215
Chui,-33.6971,-53.4616,19.41,96,96,2.66,UY,1613456215
Lalibela,12.0333,39.0333,19.95,30,3,0.98,ET,1613456216
Sambava,-14.2667,50.1667,28.31,74,88,1.27,MG,1613456216
Ponta do Sol,32.6667,-17.1,14.0,82,20,1.54,PT,1613456216
Longyearbyen,78.2186,15.6401,1.0,64,75,5.14,SJ,1613456017
Chokurdakh,70.6333,147.9167,-31.03,86,78,1.02,RU,1613456216
Hobart,-42.8794,147.3294,23.0,40,20,4.12,AU,1613456216
Lata,40.1629,-8.3327,13.89,82,75,3.6,PT,1613456217
Punta Arenas,-53.15,-70.9167,13.0,58,90,5.66,CL,1613456217
Barrow,71.2906,-156.7887,-24.0,70,90,4.63,US,1613456217
San Quintín,30.4833,-115.95,13.88,86,63,5.85,MX,1613456217
Penzance,50.1186,-5.5371,9.44,100,75,8.75,GB,1613456217
St. George's,12.0564,-61.7485,25.0,78,20,5.14,GD,1613456217
Dunedin,-45.8742,170.5036,11.67,62,44,3.13,NZ,1613456217
New Norfolk,-42.7826,147.0587,23.0,40,20,4.12,AU,1613456218
Anito,12.4497,125.2886,28.2,69,69,4.73,PH,1613456218
Waipawa,-41.4122,175.5153,15.0,62,40,12.86,NZ,1613456218
Upernavik,72.7868,-56.1549,-20.15,90,100,2.6,GL,1613456218
Kahului,20.8947,-156.47,23.0,78,20,2.06,US,1613456101
Saint Paul Harbor,57.79,-152.4072,-1.0,86,1,1.54,US,1613456218
River Falls,44.8614,-92.6238,-27.22,69,1,2.7,US,1613456219
Cayenne,4.9333,-52.3333,25.0,83,75,3.09,GF,1613456219
Airai,-8.9266,125.4092,22.3,76,100,2.25,TL,1613456219
Esperance,-33.8667,121.9,39.0,18,2,4.63,AU,1613456220
Itoman,26.1247,127.6694,18.89,59,20,5.14,JP,1613456220
Laguna,38.421,-121.4238,9.44,87,1,2.9,US,1613456220
Hermanus,-34.4187,19.2345,16.67,89,50,3.13,ZA,1613456221
Yichun,47.7,128.9,-17.13,87,100,5.54,CN,1613456221
Stratford-upon-Avon,52.1917,-1.7073,10.0,91,100,2.68,GB,1613456221
Pangnirtung,66.1451,-65.7125,-28.09,76,46,0.41,CA,1613456222
Zharkent,44.1628,80.0,6.56,57,83,1.81,KZ,1613456222
Yerbogachën,61.2767,108.0108,-27.75,85,79,2.94,RU,1613455930
Tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,2.57,CA,1613456222
Xichang,27.8964,102.2634,12.98,53,92,1.6,CN,1613456223
Aklavik,68.2191,-135.0107,-23.0,77,100,2.06,CA,1613456223
Ancud,-41.8697,-73.8203,11.11,93,0,2.57,CL,1613456065
Poum,-20.2333,164.0167,27.36,80,8,6.73,NC,1613456224
Álamos,27.0167,-108.9333,14.44,58,16,1.28,MX,1613456224
Santa Isabel Rio Negro,-0.4139,-65.0192,23.41,82,99,1.14,BR,1613456224
Basco,20.4487,121.9702,22.28,78,76,8.36,PH,1613456224
Cherskiy,68.75,161.3,-27.1,89,99,0.7,RU,1613456225
Zhigansk,66.7697,123.3711,-26.55,86,100,5.77,RU,1613455930
Nuuk,64.1835,-51.7216,-12.0,67,20,6.17,GL,1613456226
Hasaki,35.7333,140.8333,15.0,28,40,5.14,JP,1613455966
Hilo,19.7297,-155.09,24.0,78,90,2.06,US,1613456226
Riviere-au-Renard,48.9957,-64.3971,-14.0,85,1,4.62,CA,1613456226
George Town,5.4112,100.3354,32.0,58,20,4.63,MY,1613456226
Dikson,73.5069,80.5464,-34.36,81,10,5.47,RU,1613456227
Arrondissement de Verdun,49.25,5.3333,2.22,88,99,1.34,FR,1613456227
Fortuna,40.5982,-124.1573,8.33,93,90,1.59,US,1613456227
Erzin,36.9559,36.2,11.0,100,75,2.57,TR,1613456228
Souillac,-20.5167,57.5167,28.0,89,75,5.14,MU,1613456228
Ilulissat,69.2167,-51.1,-17.0,55,20,1.03,GL,1613456228
Saint-Augustin,51.226,-58.6502,-17.87,88,23,3.1,CA,1613456228
Whitehorse,60.7161,-135.0538,-27.0,83,1,1.03,CA,1613456229
Scarborough,54.2797,-0.4044,8.89,92,100,1.34,GB,1613456171
Cidreira,-30.1811,-50.2056,21.16,89,41,2.39,BR,1613456229
Eenhana,-17.4667,16.3333,19.0,72,70,1.03,NA,1613456230
Colwyn Bay,53.2948,-3.7267,9.44,91,100,7.15,GB,1613456230
Balkhash,46.844,74.9804,-5.0,80,0,7.0,KZ,1613456230
Ixtapa,20.7,-105.2,14.97,81,29,1.37,MX,1613456230
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-6.0,45,93,2.0,RU,1613456153
Quatre Cocos,-20.2078,57.7625,28.0,89,75,5.14,MU,1613456231
Soyo,-6.1349,12.3689,26.01,82,80,2.11,AO,1613456231
Kudahuvadhoo,2.6708,72.8944,27.73,72,85,2.76,MV,1613456231
Cabedelo,-6.9811,-34.8339,25.0,100,40,2.06,BR,1613456027
Yellowknife,62.456,-114.3525,-28.89,76,1,3.09,CA,1613455960
Hurricane,37.1753,-113.2899,9.0,37,1,2.02,US,1613456111
Kautokeino,69.0125,23.0412,-15.74,92,50,1.68,NO,1613456231
Esna,25.2934,32.554,13.0,50,40,1.54,EG,1613456232
Tiksi,71.6872,128.8694,-28.86,87,54,2.79,RU,1613456232
Roald,62.5833,6.1333,3.0,70,0,3.6,NO,1613456233
Lebu,-37.6167,-73.65,12.1,88,3,4.94,CL,1613456233
Tuatapere,-46.1333,167.6833,13.33,65,0,3.58,NZ,1613456233
Dryden,49.7833,-92.7503,-24.0,64,0,2.57,CA,1613456233
Bahía Honda,22.9036,-83.1592,24.26,82,1,4.11,CU,1613456233
Alpena,45.0617,-83.4327,-11.67,67,90,6.69,US,1613456233
Palmer,42.1584,-72.3287,-0.56,100,90,1.54,US,1613456146
Maryville,35.7565,-83.9705,5.0,100,90,5.66,US,1613456143
Faanui,-16.4833,-151.75,27.31,71,100,5.55,PF,1613456234
Strezhevoy,60.7333,77.5889,-21.0,71,0,3.0,RU,1613456050
Yumen,40.2833,97.2,7.22,44,0,6.4,CN,1613456234
Klaksvík,62.2266,-6.589,6.0,100,75,6.69,FO,1613456234
Guerrero Negro,27.9769,-114.0611,14.05,84,31,4.19,MX,1613456235
Severo-Kuril'sk,50.6789,156.125,-2.59,93,100,13.24,RU,1613456235
Muhafazat Lahij,13.1667,44.5833,24.06,44,0,2.7,YE,1613456235
Portugalete,43.321,-3.0206,13.33,58,0,5.14,ES,1613456235
Conceição do Araguaia,-8.2578,-49.2647,21.86,98,100,0.68,BR,1613456235
Varenikovskaya,45.1209,37.6417,-6.0,68,40,8.0,RU,1613456235
Tahara,34.6667,137.2667,11.11,37,52,3.13,JP,1613456235
Malinyi,-8.9333,36.1333,25.82,87,96,1.07,TZ,1613456236
Muncar,-8.4333,114.3333,29.68,70,35,1.53,ID,1613456236
Cubará,7.0008,-72.1085,22.97,77,89,1.47,CO,1613456236
Hūn,29.1268,15.9477,5.2,77,30,6.05,LY,1613456236
Cockburn Town,21.4612,-71.1419,25.23,72,0,10.78,TC,1613456062
Karratha,-20.7377,116.8463,31.34,60,94,7.76,AU,1613456237
Düzce,40.8389,31.1639,-1.65,94,100,1.47,TR,1613456237
Yenagoa,4.9247,6.2642,24.92,94,1,0.87,NG,1613456237
Nāndgaon,20.3167,74.65,27.68,27,10,3.78,IN,1613456237
Namatanai,-3.6667,152.4333,29.45,71,32,3.79,PG,1613456237
Iralaya,15.0,-83.2333,25.62,87,0,3.74,HN,1613456237
Puerto Ayora,-0.7393,-90.3518,25.0,93,96,0.89,EC,1613456237
Taoudenni,22.6783,-3.9836,14.21,37,11,9.73,ML,1613456237
Olinda,-8.0089,-34.8553,26.0,78,75,3.09,BR,1613456237
Cabo San Lucas,22.8909,-109.9124,16.11,72,15,2.3,MX,1613456152
Hauterive,46.0901,3.4459,6.0,70,0,6.69,FR,1613456238
Khatanga,71.9667,102.5,-31.23,83,0,4.37,RU,1613456238
Narsaq,60.9167,-46.05,-7.0,53,75,0.51,GL,1613456238
Kiama,-34.6833,150.8667,23.33,78,51,0.45,AU,1613456238
Koumac,-20.5667,164.2833,26.88,79,79,4.61,NC,1613456239
Mount Isa,-20.7333,139.5,36.0,32,6,3.09,AU,1613456239
Sarangani,5.4033,125.4636,28.38,73,30,3.89,PH,1613456239
Lüderitz,-26.6481,15.1594,18.38,56,0,7.61,NA,1613456239
Saint George,37.1041,-113.5841,9.44,37,1,1.22,US,1613456096
Peniche,39.3558,-9.3811,13.89,89,100,4.02,PT,1613456239
Thompson,55.7435,-97.8558,-27.0,76,1,1.35,CA,1613456239
Itarema,-2.9248,-39.9167,25.19,89,100,3.07,BR,1613456240
Butaritari,3.0707,172.7902,26.66,78,31,6.57,KI,1613456118
Russell,32.3502,-85.1999,4.0,87,90,6.17,US,1613456240
Vestmannaeyjar,63.4427,-20.2734,6.29,76,72,4.52,IS,1613456240
Fort Nelson,58.8053,-122.7002,-24.0,77,20,1.03,CA,1613456102
Reconquista,-29.15,-59.65,21.35,64,13,2.61,AR,1613456240
Kiruna,67.8557,20.2251,-7.0,93,40,1.54,SE,1613456241
Praia,14.9215,-23.5087,23.0,43,0,8.75,CV,1613456241
Gorontalo,0.5412,123.0595,32.63,55,38,2.7,ID,1613456241
Matabungkay Road Locality,13.9523,120.6198,28.07,68,50,5.5,PH,1613456241
Westport,41.1415,-73.3579,1.67,100,90,7.72,US,1613456241
Santa Barbara,34.7333,-120.0343,12.78,93,90,8.23,US,1613456241
Luanda,-8.8368,13.2343,25.0,88,75,1.54,AO,1613456242
Jalu,29.0331,21.5482,8.12,67,8,5.34,LY,1613456242
Mugumu,-1.85,34.7,20.13,73,97,1.24,TZ,1613456242
Los Llanos de Aridane,28.6585,-17.9182,21.0,32,90,3.6,ES,1613456242
Iguatu,-6.3594,-39.2986,22.37,96,100,1.1,BR,1613456242
Inhambane,-23.865,35.3833,25.0,94,75,3.09,MZ,1613456242
Sinjai,-5.1241,120.253,30.07,70,72,3.82,ID,1613456242
Port-Gentil,-0.7193,8.7815,26.0,94,40,1.54,GA,1613456242
Deqing,30.5448,119.9599,15.56,56,99,3.9,CN,1613456243
Inta,66.0317,60.1659,-29.8,86,100,3.22,RU,1613456243
Avarua,-21.2078,-159.775,27.0,78,75,3.6,CK,1613456118
Sitārganj,28.9333,79.7,23.0,46,0,0.51,IN,1613456243
Baoqing,46.3317,132.2111,-15.1,92,100,10.79,CN,1613456243
Shingū,33.7333,135.9833,11.0,37,20,6.69,JP,1613456243
Tigil',57.8,158.6667,-19.29,92,92,1.87,RU,1613456243
Portland,45.5234,-122.6762,6.11,81,90,4.12,US,1613456109
Rafaela,-31.2503,-61.4867,19.44,64,17,0.89,AR,1613456243
Sheffield,53.383,-1.4659,9.44,91,100,3.13,GB,1613456244
Lusambo,-4.9667,23.45,22.04,95,100,0.57,CD,1613456244
Codajás,-3.8367,-62.0569,23.08,98,100,1.02,BR,1613456244
Masagua,14.2031,-90.8481,21.0,83,1,1.4,GT,1613456244
Padang,-0.9492,100.3543,31.0,70,20,3.6,ID,1613456244
Lac du Bonnet,50.2536,-96.0612,-28.29,87,0,2.04,CA,1613456244
Mar del Plata,-38.0023,-57.5575,20.0,100,90,2.06,AR,1613456095
Harper,4.375,-7.7169,25.88,88,100,1.71,LR,1613456245
Kloulklubed,7.0419,134.2556,25.0,94,90,5.66,PW,1613456245
Srednekolymsk,67.45,153.6833,-27.27,88,100,0.57,RU,1613456245
Koslan,63.4564,48.8989,-24.31,88,92,1.04,RU,1613456245
Mount Gambier,-37.8333,140.7667,32.0,33,17,7.72,AU,1613456245
São José dos Pinhais,-25.5347,-49.2064,18.33,88,40,1.54,BR,1613456245
Arcata,40.8665,-124.0828,8.89,93,90,2.57,US,1613456131
Shakhtinsk,49.71,72.5872,-2.0,74,40,6.0,KZ,1613456245
Kruisfontein,-34.0033,24.7314,15.0,96,94,0.45,ZA,1613456246
Lae,-6.7221,146.9847,32.0,48,40,3.57,PG,1613456246
Puerto Escondido,15.85,-97.0667,21.84,62,96,2.02,MX,1613456246
Tilichiki,60.4667,166.1,-21.24,90,25,3.71,RU,1613456246
Jasper,37.2001,-94.3502,-21.11,84,1,2.06,US,1613456246
Baykit,61.67,96.37,-21.06,86,100,1.87,RU,1613456246
Castro,-24.7911,-50.0119,15.06,94,1,1.37,BR,1613456246
Bayan,46.0833,127.4,-17.64,90,97,7.09,CN,1613456246
Tautira,-17.7333,-149.15,27.0,65,40,4.12,PF,1613456247
Øksfjord,70.2396,22.3479,-6.0,79,0,3.6,NO,1613456247
Sinnamary,5.3833,-52.95,24.35,83,76,5.74,GF,1613456247
Fernie,49.5,-115.0687,-12.0,85,99,2.06,CA,1613456247
Neftegorsk,52.802,51.166,-23.87,89,0,2.23,RU,1613456247
Constitución,-35.3333,-72.4167,11.93,85,1,1.28,CL,1613456156
Salalah,17.0151,54.0924,26.0,53,0,2.06,OM,1613456247
São Filipe,14.8961,-24.4956,22.25,67,31,5.08,CV,1613456247
Bagotville,-28.9833,153.4167,22.0,88,75,7.2,AU,1613455990
Vila Velha,-20.3297,-40.2925,23.0,94,75,3.6,BR,1613456248
Şırnak,37.5228,42.4594,8.79,61,99,3.15,TR,1613456248
Lorengau,-2.0226,147.2712,29.62,70,64,4.26,PG,1613456248
Kapaa,22.0752,-159.319,23.0,88,40,2.57,US,1613455962
Bathsheba,13.2167,-59.5167,26.0,61,40,9.26,BB,1613456248
Vanavara,60.34,102.2797,-22.6,88,100,3.41,RU,1613456248
Geraldton,-28.7667,114.6,27.0,65,10,7.72,AU,1613456248
La Romana,18.4273,-68.9728,25.0,78,20,7.2,DO,1613456248
Laas,46.6166,10.7002,-1.0,100,0,2.57,IT,1613456248
Tongliao,43.6125,122.2653,-12.35,82,26,6.8,CN,1613456011
La Libertad,-2.2333,-80.9,24.81,83,98,3.73,EC,1613456249
Umluj,25.0213,37.2685,25.12,62,40,2.76,SA,1613456234
Bambous Virieux,-20.3428,57.7575,28.0,89,75,5.14,MU,1613456249
Mindelo,16.8901,-24.9804,21.0,78,75,11.32,CV,1613456249
Carutapera,-1.195,-46.02,23.86,93,100,2.2,BR,1613456249
Trojes,41.756,19.962,-4.0,80,0,1.54,AL,1613456249
Saldanha,-33.0117,17.9442,18.0,62,0,2.57,ZA,1613456249
Torbay,47.6666,-52.7314,-4.44,68,90,2.57,CA,1613456250
Ola,59.5833,151.2833,-17.13,84,52,3.36,RU,1613456250
Dingli,35.8614,14.3822,7.0,57,40,3.6,MT,1613456250
Faya,18.3851,42.4509,20.0,34,0,2.06,SA,1613456250
Ortigueira,-24.2083,-50.9494,16.33,99,0,0.46,BR,1613456250
Gorin,51.1983,136.6669,-11.43,94,100,9.08,RU,1613456250
Yulara,-25.2406,130.9889,36.0,7,0,4.63,AU,1613456250
San Miguel de Cozumel,20.5083,-86.9458,24.0,94,75,2.06,MX,1613456250
Oudtshoorn,-33.5907,22.2014,15.0,88,90,3.6,ZA,1613456251
